Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%)
"vWSJPcJ5e3o","Weeks 1-5 in ENGG2440","2020-07-13 01:05:14",248,0:02:11,52.73
"NU_b_14rdL0","The ENGG2440 Modelling Procedure","2020-07-12 03:30:41",524,0:05:48,66.35
"FkJg-PdAVZU","Intro to State-Space Modelling","2020-07-11 08:11:18",278,0:03:20,71.78
"2I_dvbNQnNw","Model Classification","2020-07-11 05:26:47",283,0:03:34,75.45
"TBY2kPuLXgY","Linearity","2020-07-10 09:18:06",158,0:02:04,78.49
"sWp_FrTv9YI","Model Validation","2020-07-10 08:14:59",260,0:03:10,73.07
"32SoHr3odY0","Intro to Mathematical Modelling","2020-07-10 06:08:29",139,0:01:47,77.21
"RRPvfy00Kao","How you can improve ENGG2440","2020-07-09 07:58:57",173,0:01:55,66.51
"zTA0K05WPeU","Assessments in 2020","2020-07-09 06:55:13",269,0:03:25,76.13
"9iUzqyj0G8Q","Resource Overview (How to HD ENGG2440)","2020-07-07 08:07:31",308,0:03:32,68.84
"eC8TxgSLVUE","Welcome to ENGG2440 - Modelling and Control!","2020-07-06 05:58:18",185,0:01:41,54.55
