video_id,duration_mins,wpm,word_count,scene_count,scene_change_rate,text_density,silence_rate,average_percentage_viewed
mock_video_048,29.51,150.7,4575,119,4.02,0.136,0.194,46.5
mock_video_049,12.45,213.9,2487,31,2.52,0.239,0.179,73.6
mock_video_050,15.52,219.4,3268,75,4.85,0.225,0.148,60.9
mock_video_051,34.45,181.7,5801,163,4.72,0.14,0.214,54.6
mock_video_052,9.14,170.0,1517,34,3.75,0.243,0.141,72.9
mock_video_053,17.17,186.3,3322,27,1.57,0.449,0.02,61.3
mock_video_054,27.52,197.1,5150,57,2.08,0.116,0.153,63.3
mock_video_055,15.1,217.5,3157,56,3.71,0.236,0.082,69.4
mock_video_056,9.69,168.4,1619,46,4.73,0.432,0.201,60.9
mock_video_057,14.73,183.0,2660,6,0.4,0.229,0.106,63.5
mock_video_058,18.82,144.6,2518,49,2.58,0.549,0.179,51.7
mock_video_059,8.46,179.3,1536,28,3.31,0.254,0.184,70.6
mock_video_060,11.77,122.8,1316,18,1.53,0.327,0.19,56.4
mock_video_061,18.02,192.4,3247,23,1.29,0.442,0.119,64.6
mock_video_062,27.78,208.6,6048,25,0.89,0.301,0.055,63.0
mock_video_063,21.02,125.8,2697,33,1.55,0.521,0.111,46.4
mock_video_064,23.27,229.3,5206,105,4.5,0.399,0.164,37.3
mock_video_065,30.09,183.0,5169,136,4.53,0.467,0.115,55.5
mock_video_066,28.21,179.9,4784,93,3.28,0.223,0.035,79.2
mock_video_067,13.88,156.8,2185,40,2.88,0.152,0.066,77.9
mock_video_068,17.82,182.4,3366,41,2.31,0.188,0.104,73.7
mock_video_069,22.94,200.0,4133,100,4.34,0.478,0.096,55.0
mock_video_070,30.75,229.6,6993,72,2.33,0.469,0.129,60.8
mock_video_071,12.4,145.2,1803,30,2.4,0.095,0.087,74.0
mock_video_072,19.55,134.7,2592,64,3.26,0.094,0.099,70.9
mock_video_073,6.79,193.9,1259,7,1.02,0.32,0.03,75.2
mock_video_074,28.08,163.6,4190,108,3.86,0.513,0.07,65.4
mock_video_075,6.56,182.0,1214,33,5.0,0.262,0.15,59.8
mock_video_076,33.54,142.9,4794,16,0.49,0.159,0.045,48.0
mock_video_077,22.36,145.1,3215,81,3.62,0.479,0.054,63.4
mock_video_078,29.76,230.9,6882,27,0.9,0.093,0.082,54.6
mock_video_079,33.79,165.6,5562,125,3.69,0.12,0.158,68.2
mock_video_080,30.66,189.0,5517,29,0.96,0.592,0.177,51.7
mock_video_081,18.42,162.6,3065,50,2.73,0.257,0.19,79.4
mock_video_082,24.43,215.3,5495,89,3.65,0.306,0.167,70.7
mock_video_083,13.83,212.9,2972,40,2.88,0.331,0.107,72.5
mock_video_084,30.09,130.0,3878,134,4.46,0.207,0.113,66.1
mock_video_085,16.99,123.3,2136,73,4.31,0.175,0.062,58.0
mock_video_086,26.33,151.8,4028,12,0.45,0.573,0.037,59.9
mock_video_087,20.17,207.2,4258,72,3.58,0.416,0.118,68.9
mock_video_088,26.06,155.2,3898,80,3.08,0.326,0.126,69.0
mock_video_089,27.63,158.0,4007,100,3.63,0.221,0.07,70.3
mock_video_090,21.54,207.7,4512,27,1.25,0.193,0.117,69.2
mock_video_091,34.32,180.3,5780,58,1.7,0.132,0.059,67.1
mock_video_092,21.49,151.5,2991,105,4.88,0.368,0.159,56.3
mock_video_093,31.19,176.5,5318,138,4.41,0.379,0.114,59.7
mock_video_094,33.29,174.9,5789,139,4.18,0.288,0.035,66.5
mock_video_095,7.55,137.2,950,23,2.99,0.238,0.219,66.0
mock_video_096,28.93,146.0,4346,81,2.8,0.314,0.109,58.2
mock_video_097,34.71,155.1,5610,113,3.26,0.397,0.168,56.9
mock_video_098,25.15,138.1,3360,30,1.2,0.119,0.021,68.0
mock_video_099,23.22,153.5,3450,34,1.46,0.448,0.161,53.3
mock_video_100,28.85,191.9,5434,99,3.44,0.566,0.105,46.7
mock_video_101,24.78,224.5,5263,104,4.2,0.117,0.053,63.9
mock_video_102,14.37,134.3,1881,51,3.57,0.444,0.209,50.1
mock_video_103,20.32,129.3,2463,12,0.58,0.305,0.084,71.6
mock_video_104,30.24,186.1,5292,144,4.77,0.6,0.154,53.0
mock_video_105,7.17,207.0,1376,18,2.56,0.419,0.203,58.5
mock_video_106,20.26,130.5,2719,41,2.0,0.253,0.154,59.1
mock_video_107,15.56,199.8,3054,27,1.73,0.572,0.183,53.4
mock_video_108,15.37,231.6,3554,35,2.26,0.348,0.218,60.5
mock_video_109,21.74,167.5,3618,27,1.26,0.268,0.171,64.5
mock_video_110,21.93,226.7,5200,53,2.42,0.443,0.044,60.1
mock_video_111,23.66,147.5,3189,27,1.13,0.366,0.13,72.6
mock_video_112,19.38,133.5,2525,82,4.23,0.339,0.163,57.9
mock_video_113,13.93,216.0,2881,68,4.91,0.207,0.13,68.6
mock_video_114,31.5,219.4,7188,53,1.67,0.491,0.103,51.7
mock_video_115,20.72,214.4,4663,35,1.7,0.235,0.137,63.5
mock_video_116,21.62,159.7,3274,64,2.94,0.363,0.111,69.9
mock_video_117,11.47,200.2,2081,35,3.03,0.201,0.175,72.2
mock_video_118,29.53,164.4,4729,102,3.45,0.507,0.216,42.9
mock_video_119,7.07,177.8,1214,22,3.11,0.532,0.195,57.2
mock_video_120,26.95,167.1,4707,92,3.41,0.16,0.114,67.8
mock_video_121,15.82,199.7,3250,54,3.39,0.523,0.19,56.6
mock_video_122,26.84,207.3,5534,118,4.41,0.099,0.034,68.2
mock_video_123,32.71,234.7,7639,126,3.84,0.306,0.04,62.6
mock_video_124,26.13,223.9,5594,16,0.61,0.494,0.079,47.4
mock_video_125,10.22,181.1,1687,31,3.0,0.492,0.054,78.8
mock_video_126,12.98,225.0,2740,14,1.06,0.32,0.071,63.1
mock_video_127,6.27,212.5,1287,29,4.55,0.432,0.052,62.0
mock_video_128,24.53,168.8,3965,38,1.55,0.52,0.06,68.8
mock_video_129,20.01,147.3,2783,61,3.03,0.379,0.219,67.9
mock_video_130,13.96,185.1,2560,50,3.55,0.467,0.03,70.9
mock_video_131,20.41,224.0,4356,35,1.72,0.495,0.141,52.0
mock_video_132,25.66,202.9,5391,88,3.43,0.516,0.146,52.0
mock_video_133,24.74,155.5,3514,60,2.43,0.381,0.166,60.1
mock_video_134,11.09,135.2,1554,32,2.88,0.585,0.126,69.8
mock_video_135,30.08,149.6,4553,126,4.19,0.331,0.181,53.8
mock_video_136,33.92,136.2,4836,165,4.85,0.527,0.165,41.6
mock_video_137,34.05,212.5,7094,71,2.08,0.491,0.023,50.0
mock_video_138,25.5,187.2,4463,107,4.18,0.569,0.042,61.1
mock_video_139,6.73,221.7,1356,20,2.98,0.556,0.064,71.6
mock_video_140,14.76,167.0,2400,15,1.04,0.572,0.081,52.3
mock_video_141,8.82,222.0,1980,9,1.02,0.316,0.154,69.7
mock_video_142,27.53,137.8,3646,64,2.31,0.131,0.118,62.4
mock_video_143,33.59,123.8,4276,71,2.1,0.311,0.21,56.2
mock_video_144,21.79,232.5,4652,45,2.05,0.287,0.058,71.9
mock_video_145,30.59,172.3,4760,106,3.45,0.414,0.139,61.7
mock_video_146,9.65,184.9,1663,7,0.72,0.478,0.061,62.3
mock_video_147,31.22,157.8,5068,34,1.08,0.548,0.021,56.2
mock_video_148,13.27,140.1,1893,46,3.44,0.093,0.023,77.0
mock_video_149,12.9,157.2,1985,15,1.2,0.107,0.168,67.8
mock_video_150,28.56,179.0,4634,26,0.9,0.342,0.209,47.9
